=================================================================
  2025년 월별 백테스트 종합 리포트
  생성: 2026-05-23 21:29
=================================================================

## 전문가별 평균 성과
날짜           전문가          종목수      평균수익     적중률
--------------------------------------------------
2025-01-02   성장주            5    +5.4%    60%
2025-01-02   가치주            5    +6.9%    60%
2025-01-02   테마주            5    +7.6%    80%
2025-01-02   배당주            5    +1.0%    60%
2025-01-02   위기종목           5    +8.3%    60%
2025-01-02   통합             5   +13.5%    60%
2025-02-03   성장주            5    +9.0%    80%
2025-02-03   가치주            5    +0.6%    40%
2025-02-03   테마주            5    +7.3%    80%
2025-02-03   배당주            5    -4.2%     0%
2025-02-03   위기종목           5   +14.9%    80%
2025-02-03   통합             5    +7.0%    60%
2025-03-03   성장주            3    +2.0%    33%
2025-03-03   가치주            5    -4.7%    20%
2025-03-03   테마주            5    -3.2%    40%
2025-03-03   배당주            4    +2.3%    75%
2025-03-03   위기종목           5    -0.3%    60%
2025-03-03   통합             5    +4.7%    60%
2025-04-01   성장주            5    +6.7%    80%
2025-04-01   가치주            5    +1.7%    80%
2025-04-01   테마주            4    +8.4%   100%
2025-04-01   배당주            5    +3.8%    80%
2025-04-01   위기종목           5    +2.2%    60%
2025-04-01   통합             5    -0.3%    40%
2025-05-02   성장주            5    +7.0%    60%
2025-05-02   가치주            5    +7.8%    60%
2025-05-02   테마주            5   +15.7%    80%
2025-05-02   배당주            5    +3.3%    60%
2025-05-02   위기종목           5    +6.1%    80%
2025-05-02   통합             5    +9.9%   100%
2025-06-02   성장주            5   +18.9%    80%
2025-06-02   가치주            5   +11.0%   100%
2025-06-02   테마주            4   +14.6%    75%
2025-06-02   배당주            5   +13.8%   100%
2025-06-02   위기종목           5   +10.6%    60%
2025-06-02   통합             5   +12.7%   100%
2025-07-01   성장주            5    +5.7%    60%
2025-07-01   가치주            5    +4.2%   100%
2025-07-01   테마주            4    -3.7%    50%
2025-07-01   배당주            5    +0.7%    60%
2025-07-01   위기종목           5    -7.1%     0%
2025-07-01   통합             5    +0.1%    60%
2025-08-01   성장주            5    +5.3%    80%
2025-08-01   가치주            5    -0.2%    40%
2025-08-01   테마주            5    +2.0%    60%
2025-08-01   배당주            5    +1.6%    60%
2025-08-01   위기종목           5    -0.3%    40%
2025-08-01   통합             5    +4.4%    80%
2025-09-01   성장주            4    +3.6%    25%
2025-09-01   가치주            5    -1.8%    40%
2025-09-01   테마주            5    -2.3%    20%
2025-09-01   배당주            5    -0.8%    40%
2025-09-01   위기종목           5    +3.4%    60%
2025-09-01   통합             5    -1.6%    40%
2025-10-01   성장주            5    +7.1%    40%
2025-10-01   가치주            5    +9.6%    80%
2025-10-01   테마주            4    +4.0%    50%
2025-10-01   배당주            5    +3.6%    60%
2025-10-01   위기종목           5    +5.3%    80%
2025-10-01   통합             5    +0.4%    40%
2025-11-03   성장주            4    -8.0%    25%
2025-11-03   가치주            5    +9.2%    80%
2025-11-03   테마주            4    -7.0%    25%
2025-11-03   배당주            5    +5.0%    80%
2025-11-03   위기종목           5    +6.7%   100%
2025-11-03   통합             5    +4.9%    60%
2025-12-01   성장주            5    -1.1%    40%
2025-12-01   가치주            5    +4.5%    60%
2025-12-01   테마주            5    -1.7%    40%
2025-12-01   배당주            5    +1.7%    60%
2025-12-01   위기종목           5   +10.0%    80%
2025-12-01   통합             5    +3.7%    60%

## 전문가별 전체 평균
----------------------------------------
  성장주        평균수익:+5.1%  적중률:55%  (12회)
  가치주        평균수익:+4.1%  적중률:63%  (12회)
  테마주        평균수익:+3.5%  적중률:58%  (12회)
  배당주        평균수익:+2.7%  적중률:61%  (12회)
  위기종목       평균수익:+5.0%  적중률:63%  (12회)
  통합         평균수익:+5.0%  적중률:63%  (12회)
